State,Agencytype,Agencyname,Race,Religion,Sexualorientation,Ethnicity,Disability,Gender,GenderIdentity,1stquarter,2ndquarter,3rdquarter,4thquarter,Population
Virginia,MetropolitanCounties,ArlingtonCountyPoliceDepartment,1,0,1,0,0,0.0,0.0,1.0,0.0,1.0,0.0,
Colorado,Cities,Arvada,2,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,110792.0
New Jersey,Cities,AsburyPark,1,0,3,0,0,0.0,0.0,1.0,2.0,1.0,0.0,15779.0
Louisiana,MetropolitanCounties,Ascension,3,1,0,0,0,0.0,0.0,0.0,3.0,1.0,0.0,
North Carolina,Cities,Asheboro,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,25665.0
North Carolina,Cities,Asheville,5,2,2,1,0,0.0,0.0,3.0,0.0,3.0,4.0,86445.0
Kentucky,Cities,Ashland,3,0,0,0,0,0.0,0.0,1.0,0.0,2.0,0.0,21432.0
New Hampshire,Cities,Ashland,1,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,2056.0
Ohio,Cities,Ashland,1,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,20306.0
Ohio,NonmetropolitanCounties,Ashland,0,0,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,
Oregon,Cities,Ashland,1,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,20455.0
Tennessee,Cities,AshlandCity,1,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,4637.0
California,Cities,Atascadero,1,0,0,1,0,0.0,0.0,0.0,0.0,1.0,1.0,28938.0
Ohio,Cities,Athens,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,23721.0
Ohio,NonmetropolitanCounties,Athens,0,0,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0,
Tennessee,Cities,Athens,1,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,13504.0
Georgia,Cities,Atlanta,5,1,12,2,1,0.0,0.0,8.0,11.0,2.0,0.0,451020.0
Tennessee,Cities,Atoka,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,8821.0
Massachusetts,Cities,Attleboro,1,0,0,1,0,0.0,0.0,0.0,1.0,0.0,1.0,44034.0
California,Cities,Atwater,0,0,0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,28906.0
California,Cities,Auburn,1,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,13779.0
Maine,Cities,Auburn,2,0,0,0,0,0.0,0.0,0.0,0.0,2.0,0.0,22948.0
Washington,Cities,Auburn,5,1,0,3,0,0.0,1.0,1.0,1.0,4.0,4.0,74565.0
Ohio,NonmetropolitanCounties,Auglaize,1,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,
Colorado,Cities,Aurora,4,0,1,1,0,0.0,0.0,1.0,3.0,0.0,2.0,343484.0
Illinois,Cities,Aurora,0,0,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0,200551.0
Texas,Cities,Austin,0,0,1,3,0,0.0,0.0,2.0,1.0,1.0,0.0,859180.0
Ohio,Cities,Austintown,2,0,0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,36192.0
Arizona,Cities,Avondale,4,0,0,1,0,0.0,0.0,1.0,1.0,3.0,0.0,78905.0
California,Cities,Azusa,1,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,47754.0
California,Cities,Bakersfield,2,1,0,0,0,0.0,0.0,0.0,0.0,2.0,1.0,361859.0
California,Cities,BaldwinPark,0,0,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0,76745.0
Indiana,UniversitiesandColleges,BallStateUniversity,0,1,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,21053.0
Maryland,Cities,Baltimore,0,1,0,1,0,0.0,0.0,1.0,0.0,0.0,1.0,622671.0
Maryland,MetropolitanCounties,BaltimoreCountyPoliceDepartment,3,2,0,0,0,0.0,0.0,1.0,0.0,2.0,2.0,
Michigan,Cities,Bangor,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,1857.0
California,Cities,Banning,0,0,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,30503.0
Ohio,Cities,Barberton,3,0,1,0,0,0.0,0.0,0.0,2.0,1.0,1.0,26245.0
West Virginia,Cities,Barboursville,2,0,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,4099.0
Illinois,Cities,Bartlett,0,1,0,1,0,0.0,0.0,0.0,0.0,1.0,1.0,41733.0
New York,Cities,Batavia,1,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,15374.0
Michigan,Cities,BathTownship,1,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,11761.0
Ohio,Cities,"BathTownship,SummitCounty",0,0,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0,9724.0
Michigan,Cities,BattleCreek,0,1,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,61032.0
Texas,Cities,Beaumont,3,0,0,0,0,0.0,0.0,2.0,1.0,0.0,0.0,118177.0
Oregon,Cities,Beaverton,0,0,1,0,0,0.0,0.0,,,1.0,,93551.0
West Virginia,Cities,Beckley,3,0,1,0,0,0.0,0.0,0.0,3.0,1.0,0.0,17593.0
Massachusetts,Cities,Bedford,1,2,0,0,0,0.0,0.0,1.0,0.0,0.0,2.0,13947.0
New Hampshire,Cities,Bedford,1,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,21645.0
Virginia,Cities,Bedford,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,2.0,5894.0
New Jersey,Cities,BedminsterTownship,1,1,0,0,0,0.0,0.0,0.0,2.0,0.0,0.0,8213.0
Maryland,Cities,BelAir,1,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,10314.0
New Mexico,Cities,Belen,0,0,0,1,0,0.0,0.0,,,,1.0,7247.0
Maine,Cities,Belfast,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,6654.0
Texas,Cities,Bellaire,0,0,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0,17617.0
Ohio,Cities,Bellefontaine,1,0,0,1,0,0.0,0.0,0.0,1.0,1.0,0.0,13147.0
Kansas,Cities,Belleville,1,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,1928.0
New Jersey,Cities,Belleville,0,0,2,0,0,0.0,0.0,0.0,0.0,1.0,1.0,36229.0
Kentucky,Cities,Bellevue,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,5918.0
Washington,Cities,Bellevue,0,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,127678.0
Washington,Cities,Bellingham,4,0,4,2,0,0.0,0.0,2.0,5.0,3.0,0.0,82645.0
Texas,Cities,Bellmead,2,0,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,9950.0
Massachusetts,Cities,Belmont,0,0,0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,25421.0
South Carolina,Cities,Belton,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,4222.0
Minnesota,Cities,Bemidji,0,0,1,0,0,0.0,0.0,0.0,1.0,0.0,0.0,13805.0
Texas,Cities,Benbrook,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,22157.0
Oregon,Cities,Bend,0,2,0,1,0,0.0,0.0,2.0,0.0,1.0,0.0,79926.0
Vermont,Cities,Bennington,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,15492.0
Washington,MetropolitanCounties,Benton,0,0,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,
Michigan,Cities,BentonHarbor,3,0,0,0,0,0.0,0.0,1.0,0.0,2.0,0.0,10039.0
Michigan,Cities,BentonTownship,2,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,14578.0
Arkansas,Cities,Bentonville,1,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,39132.0
Kentucky,Cities,Berea,0,1,1,0,0,0.0,0.0,0.0,1.0,0.0,1.0,14331.0
California,Cities,Berkeley,7,1,4,1,0,0.0,0.0,6.0,2.0,4.0,1.0,116217.0
South Carolina,MetropolitanCounties,Berkeley,2,0,0,0,0,0.0,0.0,2.0,0.0,0.0,0.0,
Arkansas,Cities,Berryville,1,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,5417.0
Illinois,Cities,Berwyn,1,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,56838.0
Connecticut,Cities,Bethel,1,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,19338.0
North Dakota,Cities,Beulah,0,0,0,1,0,0.0,0.0,1.0,0.0,0.0,0.0,3149.0
Massachusetts,Cities,Beverly,0,1,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,40592.0
California,Cities,BeverlyHills,0,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,34780.0
Massachusetts,Cities,Billerica,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,41926.0
Montana,Cities,Billings,5,1,1,0,0,0.0,0.0,1.0,2.0,1.0,3.0,107802.0
Mississippi,Cities,Biloxi,1,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,44744.0
Michigan,Cities,Birmingham,1,1,0,0,0,0.0,0.0,1.0,0.0,1.0,0.0,20544.0
North Dakota,Cities,Bismarck,0,0,1,5,0,0.0,0.0,3.0,0.0,2.0,1.0,65850.0
Oklahoma,Cities,Bixby,1,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,23122.0
Michigan,Cities,BlackmanTownship,3,0,0,0,0,0.0,0.0,0.0,1.0,0.0,2.0,38115.0
Minnesota,Cities,Blaine,4,0,0,0,0,0.0,0.0,1.0,2.0,1.0,0.0,60093.0
Oklahoma,Cities,Blanchard,1,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,8016.0
Tennessee,NonmetropolitanCounties,Bledsoe,0,0,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,
Michigan,Cities,BloomfieldTownship,1,1,0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,41791.0
Indiana,Cities,Bloomington,8,0,2,0,0,0.0,0.0,1.0,5.0,3.0,1.0,82415.0
Ohio,Cities,BlueAsh,0,0,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0,12105.0
Ohio,Cities,Boardman,1,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,40277.0
Idaho,Cities,Boise,8,1,4,0,0,0.0,0.0,2.0,0.0,7.0,4.0,214330.0
Massachusetts,Cities,Bolton,0,0,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0,5060.0
Kentucky,MetropolitanCounties,Boone,3,0,0,1,0,0.0,0.0,1.0,2.0,0.0,1.0,
Massachusetts,Cities,Boston,73,21,53,15,0,0.0,3.0,39.0,56.0,40.0,30.0,643799.0
Massachusetts,UniversitiesandColleges,BostonCollege,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,14605.0
Massachusetts,UniversitiesandColleges,BostonUniversity,0,0,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,32603.0
Utah,Cities,Bountiful,4,0,0,1,0,0.0,0.0,0.0,1.0,2.0,2.0,42976.0
Kentucky,Cities,BowlingGreen,4,0,2,2,0,0.0,0.0,1.0,2.0,4.0,1.0,61130.0
Ohio,UniversitiesandColleges,BowlingGreenStateUniversity,1,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,17286.0
Massachusetts,Cities,Braintree,3,0,0,0,0,0.0,0.0,0.0,2.0,1.0,0.0,36496.0
Missouri,Cities,Branson,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,10918.0
California,Cities,Brentwood3,4,0,0,0,0,0.0,0.0,0.0,1.0,2.0,1.0,54301.0
Florida,MetropolitanCounties,Brevard,0,0,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0,
New Jersey,Cities,BrickTownship,2,1,0,1,0,0.0,0.0,1.0,2.0,1.0,0.0,75371.0
Connecticut,Cities,Bridgeport,5,1,2,3,0,0.0,0.0,2.0,4.0,3.0,2.0,147076.0
Massachusetts,UniversitiesandColleges,BridgewaterStateUniversity,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,11417.0
Utah,Cities,BrighamCity,2,0,0,0,0,0.0,0.0,1.0,0.0,1.0,0.0,18217.0
New York,Cities,BrightonTown,1,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,36689.0
Tennessee,Cities,Bristol,1,0,2,1,0,0.0,0.0,0.0,0.0,0.0,5.0,26660.0
Virginia,Cities,Bristol,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,17641.0
Oklahoma,Cities,BrokenArrow,0,0,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,102956.0
West Virginia,MetropolitanCounties,Brooke,4,0,0,0,0,0.0,0.0,1.0,1.0,2.0,0.0,
Massachusetts,Cities,Brookline,0,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,59382.0
Minnesota,Cities,BrooklynPark,3,0,0,0,0,0.0,0.0,1.0,1.0,1.0,0.0,78353.0
New York,MetropolitanCounties,Broome,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,
Michigan,Cities,BrownstownTownship,1,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,30388.0
Texas,Cities,Brownwood,1,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,18873.0
Michigan,Cities,Buchanan,1,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,4419.0
West Virginia,Cities,Buckhannon,1,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,5649.0
Ohio,Cities,Bucyrus,0,0,0,1,0,0.0,0.0,,0.0,0.0,1.0,12007.0
California,Cities,BuenaPark3,0,0,1,1,0,0.0,0.0,0.0,1.0,0.0,1.0,82632.0
Michigan,Cities,BuenaVistaTownship,0,0,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0,8500.0
New York,Cities,Buffalo,11,1,2,2,0,1.0,0.0,6.0,3.0,4.0,4.0,258789.0
Kentucky,MetropolitanCounties,Bullitt,3,0,1,0,0,0.0,0.0,0.0,2.0,1.0,1.0,
North Carolina,MetropolitanCounties,Buncombe,2,0,0,1,0,0.0,0.0,0.0,0.0,2.0,1.0,
California,Cities,Burbank,1,1,2,1,0,0.0,0.0,1.0,2.0,2.0,0.0,104727.0
Washington,Cities,Burien,0,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,49822.0
Kentucky,Cities,Burkesville,1,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1526.0
New Jersey,Cities,Burlington,0,0,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,9865.0
North Carolina,Cities,Burlington,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,51401.0
Vermont,Cities,Burlington,2,0,1,0,0,0.0,0.0,0.0,1.0,1.0,1.0,42235.0
Wisconsin,Cities,Burlington,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,10502.0
New Jersey,Cities,BurlingtonTownship,0,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,22750.0
Wisconsin,NonmetropolitanCounties,Burnett,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,1.0,
Tennessee,Cities,Burns,1,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1469.0
Michigan,Cities,Burton,2,0,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,29263.0
Ohio,MetropolitanCounties,Butler,3,0,3,0,2,0.0,0.0,3.0,2.0,1.0,2.0,
Ohio,Cities,ButlerTownship,0,0,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,7864.0
North Carolina,MetropolitanCounties,Cabarrus,0,0,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,
Arkansas,Cities,Cabot,1,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,24695.0
Kentucky,Cities,Cadiz,0,0,2,0,0,0.0,0.0,0.0,1.0,1.0,0.0,2624.0
California,Cities,Calabasas,0,2,0,0,0,0.0,0.0,1.0,0.0,0.0,1.0,24114.0
California,NonmetropolitanCounties,Calaveras,0,0,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,
Louisiana,MetropolitanCounties,Calcasieu,0,4,3,0,0,0.0,0.0,4.0,1.0,1.0,1.0,
Idaho,Cities,Caldwell,1,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,48069.0
New Jersey,Cities,Caldwell,1,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,7876.0
California,UniversitiesandColleges,CaliforniaStatePolytechnicUniversity:Pomona,0,0,0,1,0,0.0,0.0,1.0,0.0,0.0,0.0,22156.0
California,UniversitiesandColleges,CaliforniaStatePolytechnicUniversity:SanLuisObispo,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,18679.0
California,UniversitiesandColleges,CaliforniaStateUniversity:DominguezHills,1,0,1,0,0,0.0,0.0,1.0,0.0,1.0,0.0,13933.0
California,UniversitiesandColleges,CaliforniaStateUniversity:LongBeach,1,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,36279.0
California,UniversitiesandColleges,CaliforniaStateUniversity:SanBernardino,3,0,0,0,0,0.0,0.0,2.0,0.0,1.0,0.0,18234.0
California,UniversitiesandColleges,CaliforniaStateUniversity:SanJose,2,0,1,1,0,0.0,0.0,1.0,1.0,1.0,1.0,30448.0
California,UniversitiesandColleges,CaliforniaStateUniversity:SanMarcos,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,10610.0
California,UniversitiesandColleges,CaliforniaStateUniversity:Stanislaus,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,1.0,8882.0
Kentucky,NonmetropolitanCounties,Calloway,1,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,
California,Cities,Camarillo,2,1,0,0,0,0.0,0.0,1.0,1.0,1.0,0.0,66173.0
Massachusetts,Cities,Cambridge,4,3,3,3,0,0.0,0.0,6.0,2.0,3.0,2.0,107282.0
New Jersey,MetropolitanCounties,CamdenCountyPoliceDepartment,6,0,2,0,0,0.0,0.0,0.0,4.0,4.0,0.0,
California,Cities,Campbell,1,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,40549.0
New York,Cities,Canandaigua,1,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,10470.0
Connecticut,Cities,Canton,0,0,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0,10369.0
Michigan,Cities,CantonTownship,1,1,0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,88958.0
Maine,Cities,CapeElizabeth,1,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,9104.0
Ohio,UniversitiesandColleges,CapitalUniversity,2,0,1,0,0,0.0,0.0,0.0,0.0,0.0,3.0,3584.0
Utah,NonmetropolitanCounties,Carbon,3,0,0,0,0,0.0,0.0,1.0,0.0,2.0,0.0,
Nevada,Cities,Carlin,1,0,0,0,0,0.0,0.0,,,,1.0,2457.0
Kentucky,Cities,Carlisle,1,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,1956.0
California,Cities,Carlsbad,1,1,0,1,0,0.0,0.0,0.0,0.0,3.0,0.0,110505.0
Illinois,Cities,CarolStream,0,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,40376.0
North Carolina,Cities,Carrboro,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,20709.0
North Dakota,Cities,Carrington,1,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,2108.0
Maryland,MetropolitanCounties,Carroll,2,0,0,0,0,0.0,0.0,0.0,0.0,2.0,0.0,
Missouri,NonmetropolitanCounties,Carroll,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,
Virginia,NonmetropolitanCounties,Carroll,1,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,
Kentucky,Cities,Carrollton,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,3966.0
California,Cities,Carson,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,93415.0
Texas,Cities,Carthage,0,0,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0,6918.0
Montana,MetropolitanCounties,Cascade,1,0,0,1,0,0.0,0.0,0.0,0.0,2.0,0.0,
North Dakota,MetropolitanCounties,Cass,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,
Idaho,NonmetropolitanCounties,Cassia,0,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,
Colorado,Cities,CastleRock,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,2.0,52309.0
Vermont,Cities,Castleton,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,1.0,4649.0
North Carolina,MetropolitanCounties,Catawba,1,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,
Ohio,Cities,Celina,1,0,1,0,0,0.0,0.0,1.0,1.0,0.0,0.0,10392.0
Colorado,Cities,Centennial,3,2,1,0,0,0.0,0.0,2.0,2.0,1.0,1.0,104771.0
Utah,Cities,Centerville,1,1,0,0,0,0.0,0.0,0.0,2.0,0.0,0.0,16488.0
Connecticut,UniversitiesandColleges,CentralConnecticutStateUniversity,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,1.0,12091.0
Rhode Island,Cities,CentralFalls,1,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,19404.0
California,Cities,Cerritos,3,0,0,0,0,0.0,0.0,1.0,0.0,0.0,2.0,49816.0
Illinois,Cities,Champaign,1,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,82966.0
North Carolina,Cities,ChapelHill,0,0,0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,58744.0
South Carolina,Cities,Chapin,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1506.0
Maryland,MetropolitanCounties,Charles,0,0,1,0,0,0.0,0.0,0.0,1.0,0.0,0.0,
South Carolina,Cities,Charleston,2,0,0,0,0,0.0,0.0,2.0,0.0,0.0,0.0,127206.0
West Virginia,Cities,Charleston,3,3,1,0,0,0.0,0.0,1.0,0.0,2.0,4.0,50919.0
Florida,MetropolitanCounties,Charlotte,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,
Michigan,Cities,Charlotte,1,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,9046.0
North Carolina,Cities,Charlotte-Mecklenburg,8,4,6,3,0,0.0,0.0,10.0,4.0,2.0,5.0,837638.0
Virginia,Cities,Charlottesville,1,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,44187.0
